Station_ID,Stop_ID,Station_Name,Destination,Route,Run_Number,Prediction_Time,Arrival_Time,Is_Approaching,Is_Scheduled,Is_Delayed,Is_Fault
41440,30278,Addison,Loop,Brn,411,2023-04-23T17:10:16,2023-04-23T17:11:16,1,0,0,0
40330,30065,Grand,95th/Dan Ryan,Red,817,2023-04-23T17:11:27,2023-04-23T17:12:27,1,0,0,0
41360,30265,California,Ashland/63rd,G,14,2023-04-23T17:13:41,2023-04-23T17:14:41,1,0,0,0
41360,30265,California,Ashland/63rd,G,14,2023-04-23T17:14:39,2023-04-23T17:15:39,1,0,0,0
40330,30065,Grand,95th/Dan Ryan,Red,811,2023-04-23T17:15:17,2023-04-23T17:16:17,1,0,0,0
41680,30298,Oakton-Skokie,Howard,Y,593,2023-04-23T17:15:08,2023-04-23T17:16:08,1,0,0,0
41130,30215,Halsted,Loop,Org,708,2023-04-23T17:15:11,2023-04-23T17:16:11,1,0,0,0
40330,30065,Grand,95th/Dan Ryan,Red,811,2023-04-23T17:15:17,2023-04-23T17:16:17,1,0,0,0
41680,30298,Oakton-Skokie,Howard,Y,593,2023-04-23T17:15:46,2023-04-23T17:16:46,1,0,0,0
41130,30215,Halsted,Loop,Org,708,2023-04-23T17:15:54,2023-04-23T17:16:54,1,0,0,0
40330,30065,Grand,95th/Dan Ryan,Red,811,2023-04-23T17:16:01,2023-04-23T17:17:01,1,0,0,0
40330,30064,Grand,Howard,Red,914,2023-04-23T17:17:11,2023-04-23T17:18:11,1,0,0,0
41030,30199,Polk,Loop,Pink,311,2023-04-23T17:19:39,2023-04-23T17:20:39,1,0,0,0
41680,30297,Oakton-Skokie,Skokie,Y,594,2023-04-23T17:20:06,2023-04-23T17:21:06,1,0,0,0
41030,30199,Polk,Loop,Pink,311,2023-04-23T17:20:16,2023-04-23T17:21:16,1,0,0,0
41680,30297,Oakton-Skokie,Skokie,Y,594,2023-04-23T17:20:31,2023-04-23T17:21:31,1,0,0,0
41030,30199,Polk,Loop,Pink,311,2023-04-23T17:20:37,2023-04-23T17:21:37,1,0,0,0
40330,30065,Grand,95th/Dan Ryan,Red,815,2023-04-23T17:21:14,2023-04-23T17:22:14,1,0,0,0
41680,30297,Oakton-Skokie,Skokie,Y,594,2023-04-23T17:20:47,2023-04-23T17:21:47,1,0,0,0
40330,30065,Grand,95th/Dan Ryan,Red,815,2023-04-23T17:21:30,2023-04-23T17:22:30,1,0,0,0
40330,30065,Grand,95th/Dan Ryan,Red,815,2023-04-23T17:22:18,2023-04-23T17:23:18,1,0,0,0
40840,30164,South Boulevard,Loop,P,506,2023-04-23T17:23:26,2023-04-23T17:24:26,1,0,0,0
40330,30064,Grand,Howard,Red,911,2023-04-23T17:25:49,2023-04-23T17:26:49,1,0,0,0
41440,30278,Addison,Loop,Brn,412,2023-04-23T17:27:00,2023-04-23T17:28:00,1,0,0,0
41440,30278,Addison,Loop,Brn,412,2023-04-23T17:27:40,2023-04-23T17:28:40,1,0,0,0
41440,30278,Addison,Loop,Brn,412,2023-04-23T17:27:40,2023-04-23T17:28:40,1,0,0,0
41360,30266,California,Harlem/Lake,G,613,2023-04-23T17:29:04,2023-04-23T17:30:04,1,0,0,0
41130,30215,Halsted,Loop,Org,714,2023-04-23T17:29:18,2023-04-23T17:30:18,1,0,0,0
40330,30065,Grand,95th/Dan Ryan,Red,818,2023-04-23T17:29:56,2023-04-23T17:30:56,1,0,0,0
41360,30266,California,Harlem/Lake,G,613,2023-04-23T17:29:32,2023-04-23T17:30:32,1,0,0,0
41130,30215,Halsted,Loop,Org,714,2023-04-23T17:29:52,2023-04-23T17:30:52,1,0,0,0
40330,30065,Grand,95th/Dan Ryan,Red,818,2023-04-23T17:29:56,2023-04-23T17:30:56,1,0,0,0
41360,30266,California,Harlem/Lake,G,613,2023-04-23T17:30:09,2023-04-23T17:31:09,1,0,0,0
